;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 2/27/2011 8:32:11 PM
;----------------------------------------------

;Address Opcode 	ASM
;__Lib_Delays.c,8 :: 		Delay_us(1);
0x004A	0x0000      	NOP
0x004B	0x0000      	NOP
0x004C	0x0000      	NOP
0x004D	0x0000      	NOP
0x004E	0x0000      	NOP
;__Lib_Delays.c,9 :: 		}
0x004F	0x0008      	RETURN
; end of _Delay_1us
_UART1_Data_Ready:
;__Lib_UART_c67.c,16 :: 		
;__Lib_UART_c67.c,17 :: 		
0x0050	0x3000      	MOVLW      0
0x0051	0x1283      	BCF        STATUS, 5
0x0052	0x1303      	BCF        STATUS, 6
0x0053	0x1A8C      	BTFSC      PIR1, 5
0x0054	0x3001      	MOVLW      1
0x0055	0x00F0      	MOVWF      R0
;__Lib_UART_c67.c,18 :: 		
0x0056	0x0008      	RETURN
; end of _UART1_Data_Ready
_UART1_Read:
;__Lib_UART_c67.c,22 :: 		
;__Lib_UART_c67.c,24 :: 		
0x0057	0x1283      	BCF        STATUS, 5
0x0058	0x1303      	BCF        STATUS, 6
0x0059	0x081A      	MOVF       RCREG, 0
0x005A	0x00A3      	MOVWF      ___tmp_UART1_Read
;__Lib_UART_c67.c,25 :: 		
0x005B	0x1C98      	BTFSS      RCSTA, 1
0x005C	0x285F      	GOTO       L_UART1_Read2
;__Lib_UART_c67.c,26 :: 		
0x005D	0x1218      	BCF        RCSTA, 4
;__Lib_UART_c67.c,27 :: 		
0x005E	0x1618      	BSF        RCSTA, 4
;__Lib_UART_c67.c,28 :: 		
L_UART1_Read2:
;__Lib_UART_c67.c,29 :: 		
0x005F	0x0823      	MOVF       ___tmp_UART1_Read, 0
0x0060	0x00F0      	MOVWF      R0
;__Lib_UART_c67.c,30 :: 		
0x0061	0x0008      	RETURN
; end of _UART1_Read
_UART1_Init:
;__Lib_UART_c67.c,2 :: 		
;__Lib_UART_c67.c,5 :: 		
0x0062	0x1683      	BSF        STATUS, 5
0x0063	0x1303      	BCF        STATUS, 6
0x0064	0x1698      	BSF        TXSTA, 5
;__Lib_UART_c67.c,6 :: 		
0x0065	0x3090      	MOVLW      144
0x0066	0x1283      	BCF        STATUS, 5
0x0067	0x0098      	MOVWF      RCSTA
;__Lib_UART_c67.c,7 :: 		
0x0068	0x1683      	BSF        STATUS, 5
0x0069	0x1787      	BSF        TRISC7_bit, 7
;__Lib_UART_c67.c,8 :: 		
0x006A	0x1307      	BCF        TRISC6_bit, 6
;__Lib_UART_c67.c,10 :: 		
L_UART1_Init0:
0x006B	0x1283      	BCF        STATUS, 5
0x006C	0x1E8C      	BTFSS      PIR1, 5
0x006D	0x2871      	GOTO       L_UART1_Init1
;__Lib_UART_c67.c,11 :: 		
0x006E	0x081A      	MOVF       RCREG, 0
0x006F	0x00F0      	MOVWF      R0
0x0070	0x286B      	GOTO       L_UART1_Init0
L_UART1_Init1:
;__Lib_UART_c67.c,12 :: 		
0x0071	0x0008      	RETURN
; end of _UART1_Init
_uart:
;serialtest.c,19 :: 		void uart()
;serialtest.c,22 :: 		if(UART1_Data_Ready()==1)
0x0072	0x2050      	CALL       _UART1_Data_Ready
0x0073	0x0870      	MOVF       R0, 0
0x0074	0x3A01      	XORLW      1
0x0075	0x1D03      	BTFSS      STATUS, 2
0x0076	0x28F0      	GOTO       L_uart0
;serialtest.c,26 :: 		output[i]=UART1_Read();
0x0077	0x0831      	MOVF       _i, 0
0x0078	0x3E33      	ADDLW      _output
0x0079	0x00B9      	MOVWF      FLOC__uart
0x007A	0x2057      	CALL       _UART1_Read
0x007B	0x0839      	MOVF       FLOC__uart, 0
0x007C	0x0084      	MOVWF      FSR
0x007D	0x0870      	MOVF       R0, 0
0x007E	0x0080      	MOVWF      INDF
;serialtest.c,29 :: 		UART1_Write(output[i]);
0x007F	0x0831      	MOVF       _i, 0
0x0080	0x3E33      	ADDLW      _output
0x0081	0x0084      	MOVWF      FSR
0x0082	0x0800      	MOVF       INDF, 0
0x0083	0x00BB      	MOVWF      FARG_UART1_Write_data_
0x0084	0x2040      	CALL       _UART1_Write
;serialtest.c,35 :: 		if (output[5]==48)
0x0085	0x0838      	MOVF       _output+5, 0
0x0086	0x3A30      	XORLW      48
0x0087	0x1D03      	BTFSS      STATUS, 2
0x0088	0x28ED      	GOTO       L_uart1
;serialtest.c,37 :: 		i=0;
0x0089	0x01B1      	CLRF       _i
0x008A	0x01B2      	CLRF       _i+1
;serialtest.c,38 :: 		countt[0]=(unsigned int) output[1];
0x008B	0x0834      	MOVF       _output+1, 0
0x008C	0x00A5      	MOVWF      _countt
0x008D	0x01A6      	CLRF       _countt+1
;serialtest.c,39 :: 		countt[1]=(unsigned int) output[2];
0x008E	0x0835      	MOVF       _output+2, 0
0x008F	0x00A7      	MOVWF      _countt+2
0x0090	0x01A8      	CLRF       _countt+3
;serialtest.c,40 :: 		countt[2]=(unsigned int) output[3];
0x0091	0x0836      	MOVF       _output+3, 0
0x0092	0x00A9      	MOVWF      _countt+4
0x0093	0x01AA      	CLRF       _countt+5
;serialtest.c,41 :: 		countt[3]=(unsigned int) output[4];// typecasting the received string to int
0x0094	0x0837      	MOVF       _output+4, 0
0x0095	0x00F0      	MOVWF      R0
0x0096	0x01F1      	CLRF       R0+1
0x0097	0x0870      	MOVF       R0, 0
0x0098	0x00AB      	MOVWF      _countt+6
0x0099	0x0871      	MOVF       R0+1, 0
0x009A	0x00AC      	MOVWF      _countt+7
;serialtest.c,42 :: 		countt[0]=countt[0]-48;
0x009B	0x3030      	MOVLW      48
0x009C	0x02A5      	SUBWF      _countt, 1
0x009D	0x1C03      	BTFSS      STATUS, 0
0x009E	0x03A6      	DECF       _countt+1, 1
;serialtest.c,43 :: 		countt[1]=countt[1]-48;
0x009F	0x3030      	MOVLW      48
0x00A0	0x02A7      	SUBWF      _countt+2, 1
0x00A1	0x1C03      	BTFSS      STATUS, 0
0x00A2	0x03A8      	DECF       _countt+3, 1
;serialtest.c,44 :: 		countt[2]=countt[2]-48;
0x00A3	0x3030      	MOVLW      48
0x00A4	0x02A9      	SUBWF      _countt+4, 1
0x00A5	0x1C03      	BTFSS      STATUS, 0
0x00A6	0x03AA      	DECF       _countt+5, 1
;serialtest.c,45 :: 		countt[3]=countt[3]-48;
0x00A7	0x3030      	MOVLW      48
0x00A8	0x02F0      	SUBWF      R0, 1
0x00A9	0x1C03      	BTFSS      STATUS, 0
0x00AA	0x03F1      	DECF       R0+1, 1
0x00AB	0x0870      	MOVF       R0, 0
0x00AC	0x00AB      	MOVWF      _countt+6
0x00AD	0x0871      	MOVF       R0+1, 0
0x00AE	0x00AC      	MOVWF      _countt+7
;serialtest.c,46 :: 		PORTD=countt[3];
0x00AF	0x0870      	MOVF       R0, 0
0x00B0	0x0088      	MOVWF      PORTD
;serialtest.c,47 :: 		sdelay=(countt[0] * 1000)+(countt[1] * 100)+(countt[2] * 10)+(countt[3]);
0x00B1	0x0825      	MOVF       _countt, 0
0x00B2	0x00F0      	MOVWF      R0
0x00B3	0x0826      	MOVF       _countt+1, 0
0x00B4	0x00F1      	MOVWF      R0+1
0x00B5	0x30E8      	MOVLW      232
0x00B6	0x00F4      	MOVWF      R4
0x00B7	0x3003      	MOVLW      3
0x00B8	0x00F5      	MOVWF      R4+1
0x00B9	0x200A      	CALL       _Mul_16x16_U
0x00BA	0x0870      	MOVF       R0, 0
0x00BB	0x00B9      	MOVWF      FLOC__uart
0x00BC	0x0871      	MOVF       R0+1, 0
0x00BD	0x00BA      	MOVWF      FLOC__uart+1
0x00BE	0x0827      	MOVF       _countt+2, 0
0x00BF	0x00F0      	MOVWF      R0
0x00C0	0x0828      	MOVF       _countt+3, 0
0x00C1	0x00F1      	MOVWF      R0+1
0x00C2	0x3064      	MOVLW      100
0x00C3	0x00F4      	MOVWF      R4
0x00C4	0x3000      	MOVLW      0
0x00C5	0x00F5      	MOVWF      R4+1
0x00C6	0x200A      	CALL       _Mul_16x16_U
0x00C7	0x0870      	MOVF       R0, 0
0x00C8	0x07B9      	ADDWF      FLOC__uart, 1
0x00C9	0x0871      	MOVF       R0+1, 0
0x00CA	0x1803      	BTFSC      STATUS, 0
0x00CB	0x3E01      	ADDLW      1
0x00CC	0x07BA      	ADDWF      FLOC__uart+1, 1
0x00CD	0x0829      	MOVF       _countt+4, 0
0x00CE	0x00F0      	MOVWF      R0
0x00CF	0x082A      	MOVF       _countt+5, 0
0x00D0	0x00F1      	MOVWF      R0+1
0x00D1	0x300A      	MOVLW      10
0x00D2	0x00F4      	MOVWF      R4
0x00D3	0x3000      	MOVLW      0
0x00D4	0x00F5      	MOVWF      R4+1
0x00D5	0x200A      	CALL       _Mul_16x16_U
0x00D6	0x0839      	MOVF       FLOC__uart, 0
0x00D7	0x07F0      	ADDWF      R0, 1
0x00D8	0x083A      	MOVF       FLOC__uart+1, 0
0x00D9	0x1803      	BTFSC      STATUS, 0
0x00DA	0x3E01      	ADDLW      1
0x00DB	0x07F1      	ADDWF      R0+1, 1
0x00DC	0x082B      	MOVF       _countt+6, 0
0x00DD	0x07F0      	ADDWF      R0, 1
0x00DE	0x082C      	MOVF       _countt+7, 0
0x00DF	0x1803      	BTFSC      STATUS, 0
0x00E0	0x3E01      	ADDLW      1
0x00E1	0x07F1      	ADDWF      R0+1, 1
0x00E2	0x0870      	MOVF       R0, 0
0x00E3	0x00A1      	MOVWF      _sdelay
0x00E4	0x0871      	MOVF       R0+1, 0
0x00E5	0x00A2      	MOVWF      _sdelay+1
;serialtest.c,48 :: 		send = (unsigned char) sdelay;
0x00E6	0x0870      	MOVF       R0, 0
0x00E7	0x00A0      	MOVWF      _send
;serialtest.c,49 :: 		output[5]=49;
0x00E8	0x3031      	MOVLW      49
0x00E9	0x00B8      	MOVWF      _output+5
;serialtest.c,50 :: 		UART1_Write(output[5]);
0x00EA	0x3031      	MOVLW      49
0x00EB	0x00BB      	MOVWF      FARG_UART1_Write_data_
0x00EC	0x2040      	CALL       _UART1_Write
;serialtest.c,51 :: 		}
L_uart1:
;serialtest.c,52 :: 		i+=1;
0x00ED	0x0AB1      	INCF       _i, 1
0x00EE	0x1903      	BTFSC      STATUS, 2
0x00EF	0x0AB2      	INCF       _i+1, 1
;serialtest.c,53 :: 		}}
L_uart0:
0x00F0	0x0008      	RETURN
; end of _uart
_Lcd_Init:
;__Lib_Lcd.c,84 :: 		
;__Lib_Lcd.c,86 :: 		
0x00F1	0x1683      	BSF        STATUS, 5
0x00F2	0x1303      	BCF        STATUS, 6
0x00F3	0x1286      	BCF        LCD_EN_Direction, BitPos(LCD_EN_Direction+0)
;__Lib_Lcd.c,87 :: 		
0x00F4	0x1206      	BCF        LCD_RS_Direction, BitPos(LCD_RS_Direction+0)
;__Lib_Lcd.c,88 :: 		
0x00F5	0x1006      	BCF        LCD_D4_Direction, BitPos(LCD_D4_Direction+0)
;__Lib_Lcd.c,89 :: 		
0x00F6	0x1086      	BCF        LCD_D5_Direction, BitPos(LCD_D5_Direction+0)
;__Lib_Lcd.c,90 :: 		
0x00F7	0x1106      	BCF        LCD_D6_Direction, BitPos(LCD_D6_Direction+0)
;__Lib_Lcd.c,91 :: 		
0x00F8	0x1186      	BCF        LCD_D7_Direction, BitPos(LCD_D7_Direction+0)
;__Lib_Lcd.c,93 :: 		
0x00F9	0x1283      	BCF        STATUS, 5
0x00FA	0x1286      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,94 :: 		
0x00FB	0x1206      	BCF        LCD_RS, BitPos(LCD_RS+0)
;__Lib_Lcd.c,95 :: 		
0x00FC	0x1186      	BCF        LCD_D7, BitPos(LCD_D7+0)
;__Lib_Lcd.c,96 :: 		
0x00FD	0x1106      	BCF        LCD_D6, BitPos(LCD_D6+0)
;__Lib_Lcd.c,97 :: 		
0x00FE	0x1086      	BCF        LCD_D5, BitPos(LCD_D5+0)
;__Lib_Lcd.c,98 :: 		
0x00FF	0x1006      	BCF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,100 :: 		
0x0100	0x2035      	CALL       _Delay_5500us
;__Lib_Lcd.c,101 :: 		
0x0101	0x2035      	CALL       _Delay_5500us
;__Lib_Lcd.c,102 :: 		
0x0102	0x2035      	CALL       _Delay_5500us
;__Lib_Lcd.c,105 :: 		
0x0103	0x1486      	BSF        LCD_D5, BitPos(LCD_D5+0)
;__Lib_Lcd.c,106 :: 		
0x0104	0x1406      	BSF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,107 :: 		
0x0105	0x1686      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,108 :: 		
0x0106	0x204A      	CALL       _Delay_1us
;__Lib_Lcd.c,109 :: 		
0x0107	0x1286      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,110 :: 		
0x0108	0x2035      	CALL       _Delay_5500us
;__Lib_Lcd.c,112 :: 		
0x0109	0x1686      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,113 :: 		
0x010A	0x204A      	CALL       _Delay_1us
;__Lib_Lcd.c,114 :: 		
0x010B	0x1286      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,115 :: 		
0x010C	0x2035      	CALL       _Delay_5500us
;__Lib_Lcd.c,117 :: 		
0x010D	0x1686      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,118 :: 		
0x010E	0x204A      	CALL       _Delay_1us
;__Lib_Lcd.c,119 :: 		
0x010F	0x1286      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,120 :: 		
0x0110	0x2035      	CALL       _Delay_5500us
;__Lib_Lcd.c,123 :: 		
0x0111	0x1006      	BCF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,124 :: 		
0x0112	0x1686      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,125 :: 		
0x0113	0x204A      	CALL       _Delay_1us
;__Lib_Lcd.c,126 :: 		
0x0114	0x1286      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,127 :: 		
0x0115	0x2035      	CALL       _Delay_5500us
;__Lib_Lcd.c,130 :: 		
0x0116	0x1686      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,131 :: 		
0x0117	0x204A      	CALL       _Delay_1us
;__Lib_Lcd.c,132 :: 		
0x0118	0x1286      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,134 :: 		
0x0119	0x1086      	BCF        LCD_D5, BitPos(LCD_D5+0)
;__Lib_Lcd.c,135 :: 		
0x011A	0x1586      	BSF        LCD_D7, BitPos(LCD_D7+0)
;__Lib_Lcd.c,136 :: 		
0x011B	0x1686      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,137 :: 		
0x011C	0x204A      	CALL       _Delay_1us
;__Lib_Lcd.c,138 :: 		
0x011D	0x1286      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,139 :: 		
0x011E	0x2035      	CALL       _Delay_5500us
;__Lib_Lcd.c,142 :: 		
0x011F	0x1186      	BCF        LCD_D7, BitPos(LCD_D7+0)
;__Lib_Lcd.c,143 :: 		
0x0120	0x1406      	BSF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,144 :: 		
0x0121	0x1686      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,145 :: 		
0x0122	0x204A      	CALL       _Delay_1us
;__Lib_Lcd.c,146 :: 		
0x0123	0x1286      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,148 :: 		
0x0124	0x1006      	BCF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,149 :: 		
0x0125	0x1686      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,150 :: 		
0x0126	0x204A      	CALL       _Delay_1us
;__Lib_Lcd.c,151 :: 		
0x0127	0x1286      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,152 :: 		
0x0128	0x2035      	CALL       _Delay_5500us
;__Lib_Lcd.c,155 :: 		
0x0129	0x1686      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,156 :: 		
0x012A	0x204A      	CALL       _Delay_1us
;__Lib_Lcd.c,157 :: 		
0x012B	0x1286      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,159 :: 		
0x012C	0x1406      	BSF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,160 :: 		
0x012D	0x1686      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,161 :: 		
0x012E	0x204A      	CALL       _Delay_1us
;__Lib_Lcd.c,162 :: 		
0x012F	0x1286      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,163 :: 		
0x0130	0x2035      	CALL       _Delay_5500us
;__Lib_Lcd.c,166 :: 		
0x0131	0x1006      	BCF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,167 :: 		
0x0132	0x1686      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,168 :: 		
0x0133	0x204A      	CALL       _Delay_1us
;__Lib_Lcd.c,169 :: 		
0x0134	0x1286      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,171 :: 		
0x0135	0x1586      	BSF        LCD_D7, BitPos(LCD_D7+0)
;__Lib_Lcd.c,172 :: 		
0x0136	0x1506      	BSF        LCD_D6, BitPos(LCD_D6+0)
;__Lib_Lcd.c,173 :: 		
0x0137	0x1486      	BSF        LCD_D5, BitPos(LCD_D5+0)
;__Lib_Lcd.c,174 :: 		
0x0138	0x1406      	BSF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,175 :: 		
0x0139	0x1686      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,176 :: 		
0x013A	0x204A      	CALL       _Delay_1us
;__Lib_Lcd.c,177 :: 		
0x013B	0x1286      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,179 :: 		
0x013C	0x2035      	CALL       _Delay_5500us
;__Lib_Lcd.c,181 :: 		
0x013D	0x1424      	BSF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,182 :: 		
0x013E	0x0008      	RETURN
; end of _Lcd_Init
___CC2DW:
;__Lib_System.c,24 :: 		
;__Lib_System.c,27 :: 		
_CC2D_Loop1:
;__Lib_System.c,29 :: 		
0x013F	0x2003      	CALL       _____DoICP
0x0140	0x118A      	BCF        PCLATH, 3
0x0141	0x120A      	BCF        PCLATH, 4
;__Lib_System.c,31 :: 		
0x0142	0x0080      	MOVWF      INDF
;__Lib_System.c,32 :: 		
0x0143	0x0A84      	INCF       FSR, 1
;__Lib_System.c,33 :: 		
0x0144	0x0AAF      	INCF       ___DoICPAddr, 1
;__Lib_System.c,35 :: 		
0x0145	0x1903      	BTFSC      STATUS, 2
;__Lib_System.c,36 :: 		
0x0146	0x0AB0      	INCF       ___DoICPAddr+1, 1
;__Lib_System.c,37 :: 		
0x0147	0x03F0      	DECF       R0, 1
;__Lib_System.c,39 :: 		
0x0148	0x1D03      	BTFSS      STATUS, 2
;__Lib_System.c,40 :: 		
0x0149	0x293F      	GOTO       _CC2D_Loop1
;__Lib_System.c,42 :: 		
0x014A	0x0008      	RETURN
; end of ___CC2DW
_main:
;serialtest.c,55 :: 		void main()
;serialtest.c,56 :: 		{   i=0;
0x014B	0x1283      	BCF        STATUS, 5
0x014C	0x1303      	BCF        STATUS, 6
0x014D	0x01B1      	CLRF       _i
0x014E	0x01B2      	CLRF       _i+1
;serialtest.c,57 :: 		TRISD=0;
0x014F	0x1683      	BSF        STATUS, 5
0x0150	0x0188      	CLRF       TRISD
;serialtest.c,58 :: 		PORTD=0;
0x0151	0x1283      	BCF        STATUS, 5
0x0152	0x0188      	CLRF       PORTD
;serialtest.c,59 :: 		TRISC=0xC0;
0x0153	0x30C0      	MOVLW      192
0x0154	0x1683      	BSF        STATUS, 5
0x0155	0x0087      	MOVWF      TRISC
;serialtest.c,60 :: 		GIE_BIT=1;          // turning on the global interrupt
0x0156	0x178B      	BSF        GIE_bit, 7
;serialtest.c,61 :: 		PEIE_BIT=1;
0x0157	0x170B      	BSF        PEIE_bit, 6
;serialtest.c,63 :: 		UART1_Init(9600);
0x0158	0x3081      	MOVLW      129
0x0159	0x0099      	MOVWF      SPBRG
0x015A	0x1518      	BSF        TXSTA, 2
0x015B	0x2062      	CALL       _UART1_Init
;serialtest.c,64 :: 		Lcd_Init();
0x015C	0x20F1      	CALL       _Lcd_Init
;serialtest.c,65 :: 		SPEN_BIT=1;   //SPEN has to be set (Serial Port ENable)
0x015D	0x1798      	BSF        SPEN_bit, 7
;serialtest.c,66 :: 		CREN_BIT=1;   //set the Continuous Receive ENable bit
0x015E	0x1618      	BSF        CREN_bit, 4
;serialtest.c,67 :: 		while(1)
L_main2:
;serialtest.c,69 :: 		uart();
0x015F	0x2072      	CALL       _uart
;serialtest.c,70 :: 		}
0x0160	0x295F      	GOTO       L_main2
;serialtest.c,71 :: 		}
0x0161	0x2961      	GOTO       $+0
; end of _main
Symbol List:
//** Routines locations **
//ADDRESS    SIZE    PROCEDURE
//----------------------------------------------
0x0003       [7]    _____DoICP
0x000A      [43]    _Mul_16x16_U
0x0035      [11]    _Delay_5500us
0x0040      [10]    _UART1_Write
0x004A       [6]    _Delay_1us
0x0050       [7]    _UART1_Data_Ready
0x0057      [11]    _UART1_Read
0x0062      [16]    _UART1_Init
0x0072     [127]    _uart
0x00F1      [78]    _Lcd_Init
0x013F      [12]    ___CC2DW
0x014B      [23]    _main
//** Variables locations ** 
//ADDRESS    SIZE    VARIABLE
//----------------------------------------------
0x0000       [1]    INDF
0x0001       [1]    TMR0
0x0002       [1]    PCL
